ARREST_DATE,PD_DESC,OFNS_DESC,LAW_CODE,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,14,(null),(null)
2025-01-01T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201500,B,43,(null),(null)
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,VTL119202X,B,45,18-24,M
2025-01-01T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510D,M,14,(null),(null)
2025-01-01T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,13,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,20,25-44,M
2025-01-01T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,K,84,(null),(null)
2025-01-01T00:00:00.000,"TRESPASS 2, CRIMINAL",CRIMINAL TRESPASS,PL 1401501,Q,113,(null),(null)
2025-01-01T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402000,B,40,25-44,M
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,M,20,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,41,18-24,M
2025-01-01T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,M,28,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,K,78,65+,M
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,B,43,(null),(null)
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,VTL11920U2,K,90,25-44,M
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,B,43,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,K,71,25-44,F
2025-01-01T00:00:00.000,UNLICENSED OPERATOR,MOVING INFRACTIONS,VTL05110E5,K,70,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,83,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,18,45-64,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,M,14,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1450502,K,72,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,S,120,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,K,60,(null),(null)
2025-01-01T00:00:00.000,BAIL JUMPING 1 & 2,MISCELLANEOUS PENAL LAW,PL 2155600,Q,101,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,B,40,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,14,(null),(null)
2025-01-01T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED VIO",OTHER STATE LAWS,LOC00000V0,K,75,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,Q,110,25-44,F
2025-01-01T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,102,25-44,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,M,14,(null),(null)
2025-01-01T00:00:00.000,RECKLESS ENDANGERMENT 2,OFFENSES AGAINST THE PERSON,PL 1202000,B,48,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,60,(null),(null)
2025-01-01T00:00:00.000,ASSAULT POLICE/PEACE OFFICER,FELONY ASSAULT,PL 1200800,K,88,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,107,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,M,14,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,83,(null),(null)
2025-01-01T00:00:00.000,"BRIBERY,PUBLIC ADMINISTRATION",MISCELLANEOUS PENAL LAW,PL 2154002,M,14,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,66,(null),(null)
2025-01-01T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,Q,105,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,22,(null),(null)
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED/IMPAIRED DRIVING,VTL11920E3,K,71,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,66,18-24,M
2025-01-01T00:00:00.000,"TRESPASS 3, CRIMINAL",CRIMINAL TRESPASS,PL 140100A,Q,114,(null),(null)
2025-01-01T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1701003,M,13,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,B,41,(null),(null)
2025-01-01T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110E1,K,84,25-44,M
2025-01-01T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1657200,M,18,(null),(null)
2025-01-01T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1601001,Q,106,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,B,43,(null),(null)
2025-01-01T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110FE,B,47,18-24,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,K,61,25-44,F
2025-01-01T00:00:00.000,"CHILD, ENDANGERING WELFARE",SEX CRIMES,PL 2601001,K,73,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,K,67,(null),(null)
2025-01-01T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED VIO",OTHER STATE LAWS,LOC00000V0,M,6,(null),(null)
2025-01-01T00:00:00.000,"PUBLIC HEALTH LAW,UNCLASSIFIED",OTHER STATE LAWS (NON PENAL LAW),PHL3380005,M,14,25-44,M
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,K,81,(null),(null)
2025-01-01T00:00:00.000,"PUBLIC SAFETY,UNCLASSIFIED MIS",OFFENSES AGAINST PUBLIC SAFETY,PL 2703000,K,90,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,75,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,75,(null),(null)
2025-01-01T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,B,40,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,44,(null),(null)
2025-01-01T00:00:00.000,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CRIMINAL MISCHIEF & RELATED OF,PL 1450001,M,33,(null),(null)
2025-01-01T00:00:00.000,"IMPERSONATION 2, PUBLIC SERVAN",FRAUDS,PL 1902300,Q,103,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,60,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,M,32,(null),(null)
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,VTL11920U3,Q,105,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,M,18,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL MIS 2 & 3,CRIMINAL MISCHIEF & RELATED OF,PL 1451000,Q,115,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE,POSSESS.",DANGEROUS DRUGS,PL 2201612,Q,101,(null),(null)
2025-01-01T00:00:00.000,"ARSON 2,3,4",ARSON,PL 1501001,M,9,(null),(null)
2025-01-01T00:00:00.000,"FORGERY-ILLEGAL POSSESSION,VEH",MISCELLANEOUS PENAL LAW,PL 170703B,B,49,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200605,K,81,25-44,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,40,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,75,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,S,120,25-44,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,K,79,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,S,120,25-44,M
2025-01-01T00:00:00.000,CUSTODIAL INTERFERENCE 2,OFFENSES AGAINST THE PERSON,PL 1354501,K,62,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,M,10,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,25,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,K,79,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,Q,108,25-44,M
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL05110MU,K,79,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,K,81,(null),(null)
2025-01-01T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,Q,115,45-64,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,113,(null),(null)
2025-01-01T00:00:00.000,ASSAULT POLICE/PEACE OFFICER,FELONY ASSAULT,PL 1200800,S,122,45-64,M
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,S,121,45-64,M
2025-01-01T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,K,60,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL05110MU,Q,116,(null),(null)
2025-01-01T00:00:00.000,"FORGERY,ETC.-MISD.",OFFENSES INVOLVING FRAUD,PL 1700500,B,41,(null),(null)
2025-01-01T00:00:00.000,"BURGLARY,RESIDENCE,NIGHT",BURGLARY,PL 1402502,K,67,(null),(null)
2025-01-01T00:00:00.000,RESISTING ARREST,OFFENSES AGAINST PUBLIC ADMINI,PL 2053000,K,79,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL CONTEMPT 1,MISCELLANEOUS PENAL LAW,PL 21551B5,B,48,25-44,M
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,S,121,25-44,M
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0512000,Q,105,(null),(null)
2025-01-01T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,K,60,18-24,M
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL05110MU,Q,105,(null),(null)
2025-01-01T00:00:00.000,"CONTEMPT,CRIMINAL",OFFENSES AGAINST PUBLIC ADMINI,PL 2155006,M,25,25-44,M
2025-01-01T00:00:00.000,OBSTR BREATH/CIRCUL,ASSAULT 3 & RELATED OFFENSES,PL 1211100,Q,103,25-44,F
2025-01-01T00:00:00.000,"WEAPONS, POSSESSION, ETC",DANGEROUS WEAPONS,PL 2650101,M,13,(null),(null)
2025-01-01T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,14,(null),(null)
2025-01-01T00:00:00.000,"CHILD, ENDANGERING WELFARE",SEX CRIMES,PL 2601001,Q,113,(null),(null)
2025-01-01T00:00:00.000,"BURGLARS TOOLS,UNCLASSIFIED",BURGLAR'S TOOLS,PL 1403500,S,121,25-44,M
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,VTL11920U2,S,121,18-24,M
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,Q,115,(null),(null)
2025-01-01T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 160102A,S,120,45-64,M
2025-01-01T00:00:00.000,DISORDERLY CONDUCT,DISORDERLY CONDUCT,PL 2402002,K,77,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,14,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,107,(null),(null)
2025-01-01T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,Q,115,(null),(null)
2025-01-01T00:00:00.000,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY &,PL 2403001,M,9,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200504,S,122,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,Q,109,(null),(null)
2025-01-01T00:00:00.000,"GAMBLING, DEVICE, POSSESSION",GAMBLING,PL 2253001,K,72,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",GRAND LARCENY,PL 1553001,M,18,(null),(null)
2025-01-01T00:00:00.000,"INTOXICATED DRIVING,ALCOHOL",INTOXICATED & IMPAIRED DRIVING,VTL11920U3,K,73,25-44,M
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,M,14,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,61,45-64,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,103,25-44,F
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,113,18-24,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,9,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,40,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,105,(null),(null)
2025-01-01T00:00:00.000,"PUBLIC ADMINISTRATION,UNCLASSI",MISCELLANEOUS PENAL LAW,PL 215510B,Q,100,25-44,M
2025-01-01T00:00:00.000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FORGERY,PL 1657200,M,18,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,7,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,PETIT FROM OPEN AREAS,",PETIT LARCENY,PL 1552500,S,121,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,B,40,(null),(null)
2025-01-01T00:00:00.000,"ROBBERY,OPEN AREA UNCLASSIFIED",ROBBERY,PL 1600500,B,44,(null),(null)
2025-01-01T00:00:00.000,WEAPONS POSSESSION 3,DANGEROUS WEAPONS,PL 265025B,K,79,(null),(null)
2025-01-01T00:00:00.000,CRIMINAL POSSESSION WEAPON,DANGEROUS WEAPONS,PL 265031B,M,7,18-24,F
2025-01-01T00:00:00.000,RECKLESS ENDANGERMENT 1,MISCELLANEOUS PENAL LAW,PL 1202500,Q,104,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,M,18,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,6,45-64,M
2025-01-01T00:00:00.000,"BURGLARY,UNCLASSIFIED,UNKNOWN",BURGLARY,PL 1402501,M,17,25-44,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,41,(null),(null)
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE,INTENT TO",DANGEROUS DRUGS,PL 2201601,K,60,45-64,M
2025-01-01T00:00:00.000,"FORGERY-ILLEGAL POSSESSION,VEH",MISCELLANEOUS PENAL LAW,PL 1706501,Q,110,(null),(null)
2025-01-01T00:00:00.000,"THEFT OF SERVICES, UNCLASSIFIE",OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,13,(null),(null)
2025-01-01T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201401,K,70,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,Q,115,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,S,121,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,GRAND OF AUTO",GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,Q,110,(null),(null)
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200501,B,40,25-44,M
2025-01-01T00:00:00.000,"MENACING,UNCLASSIFIED",ASSAULT 3 & RELATED OFFENSES,PL 1201500,B,43,(null),(null)
2025-01-01T00:00:00.000,"CONTEMPT,CRIMINAL",OFFENSES AGAINST PUBLIC ADMINI,PL 2155003,B,44,25-44,M
2025-01-01T00:00:00.000,"CONTROLLED SUBSTANCE, POSSESSI",DANGEROUS DRUGS,PL 2200300,B,52,(null),(null)
2025-01-01T00:00:00.000,"NY STATE LAWS,UNCLASSIFIED FEL",OTHER STATE LAWS,VTL05110FE,Q,103,45-64,M
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,B,40,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,B,40,(null),(null)
2025-01-01T00:00:00.000,SEXUAL ABUSE,SEX CRIMES,PL 1306502,M,33,25-44,M
2025-01-01T00:00:00.000,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,PL 1200502,K,79,(null),(null)
2025-01-01T00:00:00.000,"TRAFFIC,UNCLASSIFIED MISDEMEAN",VEHICLE AND TRAFFIC LAWS,VTL0511001,K,81,(null),(null)
2025-01-01T00:00:00.000,"LARCENY,GRAND OF AUTO",GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,Q,110,18-24,M
2025-01-01T00:00:00.000,"CHILD, ENDANGERING WELFARE",SEX CRIMES,PL 2601001,Q,105,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,66,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,K,60,(null),(null)
2025-01-01T00:00:00.000,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,PL 1200001,Q,115,(null),(null)
